Company_name,booth,address,city_zip,categories
Nectar of the Vine,1419,PO Box 597,"Burton, OH 44021","Food, Beverage"
Paradise Found Construction,612,7151 OKelly Chapel Rd. #245,"Cary, NC 27519","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
My Life Designs,301,PO Box 662,"Hudson, NC 28638","Home Décor, Art, Interior Design, Furnishings"
NC Solar Now,1113,3401 Atlantic Ave.,"Raleigh, NC 27604","Utility Companies, Electrical, Solar Power, Energy Management, Generators, Green Energy"
My Guys Remodeling,733,1018 Morrisville Pkwy,"Morrisville, NC 27560","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Mr. Roof,921,103 Rupert Road,"Raleigh, NC 27603","Home Exteriors, Gutters, Siding, Roofing"
My Pillow Inc.,138,5555 12th Ave. E,"Shakopee, MN 55379","Home Décor, Art, Interior Design, Furnishings"
nBaxter Design,1419,,"Durham, NC 27707","Home Décor, Art, Interior Design, Furnishings"
Monster Tree Service of the Research Triangle,505,,"Cary, NC 27519","Garden, Decks, Patios, Landscape, Outdoors"
"Mitchell Heating & Cooling, Inc.",613,4805 Rogers Road,"Rolesville, NC 27571","Heating, Air Conditioning, Ventilation"
Luxury Living Scapes,1301,2528 South Alston Ave.,"Durham, NC 27713","Garden, Decks, Patios, Landscape, Outdoors"
Little Giant Ladder Systems,105,,,"Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
McCarthy Metal Roofing,1216,1250 Kirkland Road,"Raleigh, NC 27603","Home Exteriors, Gutters, Siding, Roofing"
Marketplace Events,Show Office, 31105 Bainbridge Road,"Solon, OH 44139",Other Events
Lustre Craft,912,4129 United Avenue,"Mount Dora, FL 32757","Recreation, Pool and Spa, Health and Wellness, Fitness"
Lifestyle Marketplace Sheets,338,,"Huntersville, NC 28078","Home Décor, Art, Interior Design, Furnishings"
Luxury Bath & Kitchens,901,3048 Barrow Drive,"Raleigh, NC 27616","Kitchen, Bath"
LeavesOut Gutter Guards of Raleigh,309,,,"Home Exteriors, Gutters, Siding, Roofing"
LeafFilter Gutter Protection,101,175 Southport Dr.,"Morrisville, NC 27560","Home Exteriors, Gutters, Siding, Roofing"
Kitchen Craft,312,4129 United Avenue,"Mount Dora, FL 32757","Appliances, Water Systems, Household Products"
"Kingsford Home Improvements, Inc.",601,1347 Avondale Drive,"Durham, NC 27701","Home Exteriors, Gutters, Siding, Roofing"
Keller Williams,1404,"201 Shannon Oaks Circle, #101","Cary, NC 27511","Financial, Insurance, Mortgage, Real Estate, Home Inspections"
Kitchen Recreations,1001,125 Anna Drive,"Clayton, NC 27520","Kitchen, Bath"
KR Communications,828,932 Kenmore Ave.,"Buffalo, NY 14216","Home Entertainment, Electronics, Security"
Kinetico Water Systems,508,146 Annaron Court,"Raleigh, NC 27603","Appliances, Water Systems, Household Products"
"Inside Out Construction, Inc.",100,,,"Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Help Me Rhonda Interiors,1217,1600 Heritage Commerce Ct. ,"Wake Forest, NC 27587","Home Décor, Art, Interior Design, Furnishings"
Homerun Products / Eurocast,509,1431 7th Ave. N ,"Fargo, ND 58102","Appliances, Water Systems, Household Products"
Infinity Massage Chairs,725,72 Stard Rd.,"Seabrook, NH 03874","Home Décor, Art, Interior Design, Furnishings"
Hawaiian Moon,"333, 713",321 S Missouri Ave.,"Clearwater, FL 33756","Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
"Harrison Fence, Inc.",1119,PO Box 828,"Apex , NC 27502","Garden, Decks, Patios, Landscape, Outdoors"
Garage Kings,637,,,"Garage (Doors, Organization), Automotive"
Floors and More Inc. of NC,1000,907 N Main Street,"Creedmoor, NC 27522","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Grout Medic,1213,307 Russo,"Cary, NC 27519","Kitchen, Bath"
Flooring By Design,1130,212 Village Walk Drive ,"Holly Springs, NC 27540","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Floor Coverings International - Wake Forest,306,,,"Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
"Floury Apron, LLC",M103,,"Wake Forest, NC 27587","Food, Beverage"
Feazel,737,128 Towerview Court,"Cary, NC 27513","Home Exteriors, Gutters, Siding, Roofing"
Fanelli,M100,886 Bartek Ct.,"Fuquay Varina, NC 27526",Crafts
Enhance Construction Company,1107,830 Glen Laurel Road,"Clayton, NC 27527","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Family Affair,M10,130 Jonas Circle,"Chesnee, SC 29323","Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
